algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,maturity,nb_epochs,hidden_size,factors,ridge_coeff,train_ITM_only,use_path,price,duration
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.6,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.06588503672261861,5.431494235992432
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.62,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.09332531457859897,5.38187837600708
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.62,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.08852415220509954,5.416325807571411
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.62,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.08698172996177336,5.380954265594482
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.64,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.12202218538447412,5.41808557510376
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.64,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.12148281757600916,5.434299945831299
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.64,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.11352115385218613,5.388596296310425
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.66,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.12726648441971491,5.409949541091919
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.66,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.13143285842932828,5.365261793136597
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.66,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.13224483583539878,5.3221375942230225
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.68,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.14034904240300453,5.375895977020264
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.68,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.1468385794474886,5.281728982925415
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.68,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.13672701775046567,5.272878408432007
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.7000000000000001,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.15316951834995948,5.320781230926514
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.7000000000000001,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.16987203809767693,5.283542156219482
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.7000000000000001,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.17443526558219782,5.356398582458496
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.72,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.1580502047859305,5.296322822570801
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.72,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.1677623358233773,5.3433825969696045
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.72,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.16094205556664756,5.37410306930542
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.74,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.1854834653301281,5.3948023319244385
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.74,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.19124619174226096,5.2972412109375
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.74,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.17726412371387948,5.307085752487183
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.76,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.20389226067040547,5.3760600090026855
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.76,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.1958195180005198,5.393918514251709
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.76,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.19256250326750027,5.331525087356567
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.78,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.21427289135351796,5.356230974197388
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.78,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.22582199555154175,5.424690008163452
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.78,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.22185498296473602,5.395750284194946
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.8,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.23664059912454383,5.409530162811279
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.8,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.23186733288715997,5.428803443908691
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.8,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.23119842361012605,5.330835819244385
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.8200000000000001,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.23192094482028852,5.367114305496216
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.8200000000000001,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.23753840196246265,5.278870344161987
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.8200000000000001,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.2376241141247809,5.339018821716309
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.84,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.2464443507166063,5.255993366241455
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.84,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.2601923103890007,5.3234710693359375
